lam,k,acc_2px,acc_5px,acc_25px,median_px,tie_break_rate
0.0,0.05,0.4000,0.4000,0.4250,198.5786,0.0750
0.0,0.1,0.4000,0.4000,0.4250,198.5786,0.1000
0.0,0.5,0.4000,0.4000,0.4250,198.5786,0.2250
0.0,1.0,0.4000,0.4000,0.4500,135.5462,0.3250
0.0,1.5,0.3000,0.3250,0.4250,129.1369,0.5250
0.0,2.0,0.2750,0.3000,0.3750,196.3426,0.6750
0.0,3.0,0.2750,0.2750,0.3000,209.4316,0.7750
0.25,0.05,0.5000,0.5000,0.5250,3.5853,0.0500
0.25,0.1,0.5000,0.5000,0.5250,3.5853,0.0500
0.25,0.5,0.5000,0.5000,0.5250,3.5853,0.2500
0.25,1.0,0.4500,0.4500,0.4750,92.1362,0.4500
0.25,1.5,0.3500,0.3750,0.4500,129.1111,0.6500
0.25,2.0,0.3000,0.3250,0.4000,211.2655,0.7500
0.25,3.0,0.2500,0.2500,0.3000,234.9992,0.7750
0.5,0.05,0.5250,0.5250,0.5750,1.1827,0.0000
0.5,0.1,0.5250,0.5250,0.5750,1.1827,0.0500
0.5,0.5,0.5250,0.5250,0.5750,1.1827,0.2750
0.5,1.0,0.4250,0.4250,0.5000,61.3136,0.5000
0.5,1.5,0.3500,0.3500,0.4250,198.5775,0.6500
0.5,2.0,0.3000,0.3000,0.4000,203.2748,0.7250
0.5,3.0,0.2250,0.2250,0.2750,228.7819,0.8250
0.75,0.05,0.5250,0.5250,0.5500,1.1518,0.0000
0.75,0.1,0.5250,0.5250,0.5500,1.1518,0.0250
0.75,0.5,0.5250,0.5250,0.5500,1.1518,0.2000
0.75,1.0,0.4500,0.4500,0.5000,56.4055,0.4500
0.75,1.5,0.3750,0.3750,0.4500,182.2658,0.5750
0.75,2.0,0.2750,0.2750,0.3750,196.3417,0.7500
0.75,3.0,0.2250,0.2250,0.3000,234.2641,0.8250
1.0,0.05,0.5500,0.5500,0.5500,1.0540,0.0250
1.0,0.1,0.5500,0.5500,0.5500,1.0540,0.0500
1.0,0.5,0.5750,0.5750,0.5750,0.7654,0.2000
1.0,1.0,0.4500,0.4500,0.4750,159.9954,0.5000
1.0,1.5,0.4250,0.4250,0.4500,159.9954,0.5750
1.0,2.0,0.3500,0.3500,0.4000,182.0227,0.7250
1.0,3.0,0.2250,0.2250,0.2500,283.1416,0.8000
